filename,before_encoding_file_size,after_encoding_file_size,encoding_date,status,processing_time_seconds,cloudinary_public_id
azerbaycan-kurtarma-ekibi-ulkesine-dondu-Zb5b.mp4,123639834,0,2025-06-11T11:50:03.982766,failed: Error parsing server response (413) - b'<html>\r\n<head><title>413 Request Entity Too Large</title></head>\r\n<body>\r\n<center><h1>413 Request Entity Too Large</h1></center>\r\n<hr><center>nginx</center>\r\n</body>\r\n</html>\r\n'. Got - Expecting value: line 1 column 1 (char 0),29.87,video_optimizer/1749638974_azerbaycan-kurtarma-ekibi-ulkesine-dondu-Zb5b
basina-buz-kutlesi-dusen-ozel-guvenlik-gorevlisi-oldu-alZv.mp4,55001834,14787628,2025-06-11T11:50:22.312340,success,73.92,video_optimizer/1749638948_basina-buz-kutlesi-dusen-ozel-guvenlik-gorevlisi-oldu-alZv
kahramanmaras-elbistanda-depremle-yarilan-tarlalardan-yuzeye-su-cikti-rHKD.mp4,20349852,3616859,2025-06-11T11:50:31.239158,success,26.33,video_optimizer/1749639004_kahramanmaras-elbistanda-depremle-yarilan-tarlalardan-yuzeye-su-cikti-rHKD
istanbul-kagithanede-dehset-anlari-genc-kadini-darp-etti-havaya-ates-acti-uXYZ.mp4,50783503,9453722,2025-06-11T11:50:46.891151,success,69.37,video_optimizer/1749638977_istanbul-kagithanede-dehset-anlari-genc-kadini-darp-etti-havaya-ates-acti-uXYZ
carpici-fotograf-deprem-oncesi-ve-sonra-kahramanmaras-0q6i.mp4,28525454,8673667,2025-06-11T11:50:57.657571,success,34.46,video_optimizer/1749639023_carpici-fotograf-deprem-oncesi-ve-sonra-kahramanmaras-0q6i
son-dakika-yunanistan-selanikte-iki-tren-carpisti-onlarca-olu-cok-sayida-yarali-var-nC97.mp4,27439476,5834090,2025-06-11T11:51:00.952018,success,28.81,video_optimizer/1749639032_son-dakika-yunanistan-selanikte-iki-tren-carpisti-onlarca-olu-cok-sayida-yarali-var-nC97
deprem-firsatcilarina-ceza-yolda-lDAZ.mp4,44922481,12434229,2025-06-11T11:52:08.340650,success,66.4,video_optimizer/1749639061_deprem-firsatcilarina-ceza-yolda-lDAZ
malatyada-40-saat-sonra-enkazdan-altindan-cikarilmisti-minik-aysima-kahramanlariyla-gorustu-LZQl.mp4,57920439,14468808,2025-06-11T11:52:20.272021,success,81.48,video_optimizer/1749639058_malatyada-40-saat-sonra-enkazdan-altindan-cikarilmisti-minik-aysima-kahramanlariyla-gorustu-LZQl
istanbulda-dehsete-dusuren-goruntuler-bina-tel-tel-dokuluyor-0saI.mp4,67486009,21665553,2025-06-11T11:52:20.560515,success,92.68,video_optimizer/1749639047_istanbulda-dehsete-dusuren-goruntuler-bina-tel-tel-dokuluyor-0saI
15-yildir-saclarini-yikamayan-kadin-umrumda-degil-QEyi.mp4,46370144,11665025,2025-06-11T11:53:18.730998,success,69.8,video_optimizer/1749639128_15-yildir-saclarini-yikamayan-kadin-umrumda-degil-QEyi
